hour,x_con1,x_con2,x_con3,x_con4,x_con5,x_con6,x_con7,x_con8,x_con9,x_con10,x_con11,x_con12,x_wind1,x_wind2,x_wind3,x_wind4,y1,y2,y3,y4,y5,y6,y7,y8,y9,y10,y11,y12,y13,y14,y15,y16,y17,x_bat_charg1,x_bat_disch1,x_bat_charg2,x_bat_disch2,x_bat_charg3,x_bat_disch3,x_bat_charg4,x_bat_disch4,x_bat_charg5,x_bat_disch5,x_line1,x_line2,x_line3
11,102.33251186926425,0.0,0.0,0.0,0.0,0.0,0.0,400.0,400.0,300.0,310.0,27.009599999999864,166.9354275271276,88.9871006036082,154.895847893819,187.25637772131242,96.69024,86.51232,236.63663999999994,173.02464,282.43728,89.05680000000001,297.70416,162.84672,114.5016,160.30224,66.15648,63.612,0.0,111.95712000000002,0.0,0.0,173.02463999999998,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,2.953985615131444,0.0,-399.99999999999994,0.0,-450.0
12,143.460023417302,0.0,0.0,0.0,0.0,19.426319642413773,0.0,400.0,400.0,300.0,310.0,19.85325000000006,161.9204984308834,44.9760281518146,128.2680108500288,164.5330945075574,95.68305,85.61115000000001,234.17167500000005,171.22230000000002,279.495225,88.129125,294.603075,161.1504,113.308875,158.63242499999998,65.46735000000001,62.949375,0.0,110.7909,0.0,0.0,171.22230000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1368683772161603e-13,0.0,0.0,-400.0,0.0,-450.0
13,152.0,13.124935041894844,0.0,0.0,0.0,8.768739587433402,0.0,400.0,400.0,300.0,310.0,19.853249999999946,155.94088317479938,29.2907317833058,125.2943954963214,153.1642899162454,95.68305,85.61115000000001,234.17167500000005,171.22230000000002,279.495225,88.129125,294.603075,161.1504,113.308875,158.63242499999998,65.46735000000001,62.949375,0.0,110.7909,0.0,0.0,171.2223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,5.0,-400.0,0.0,-450.0000000000001
14,32.0,71.28247887060962,0.0,0.0,0.0,27.155479215564586,0.0,400.0,400.0,300.0,310.0,19.85324999999989,147.4501265881818,99.6239445412086,137.4807773689476,145.0911684154878,95.68305,85.61115000000001,234.1716750000001,171.22230000000002,279.495225,88.129125,294.603075,161.1504,113.308875,158.63242499999998,65.46735000000001,62.949375,0.0,110.7909,0.0,0.0,171.2222999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.499999999999999,-399.9999999999999,0.0,-450.0000000000001
15,71.46221978855057,0.0,0.0,0.0,0.0,19.692760952409458,0.0,400.0,400.0,300.0,310.0,5.540550000000181,144.04566449741182,119.05168571403759,136.3106919442788,142.282342103312,93.66867,83.80881000000001,229.24174500000032,167.61762000000002,273.61111500000004,86.27377500000001,288.400905,157.75776000000002,110.923425,155.292795,64.08909000000001,61.62412500000001,0.0,108.45846000000002,0.0,0.0,167.61761999999987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-399.99999999999994,0.0,-450.0000000000001
16,80.89804711705393,0.0,0.0,0.0,0.0,21.60766965114624,0.0,400.0,400.0,300.0,309.9999999999999,5.54054999999984,149.04204691157,104.6194759713762,131.205581477533,145.4725438713208,93.66867,83.80881000000001,229.24174499999975,167.61762000000002,273.61111500000004,86.27377500000001,288.400905,157.75776000000002,110.923425,155.292795,64.08909000000001,61.62412500000001,0.0,108.45846000000002,0.0,0.0,167.61762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-399.9999999999999,0.0,-450.0
17,130.1468016417076,0.0,0.0,0.0,0.0,37.96255791491103,0.0,400.0,400.0,300.0,310.0,48.478650000000016,136.4638483567012,115.3398600015912,130.63002157685818,146.5181055082308,99.71181,89.21583,244.03153500000008,178.43166,291.263445,91.839825,307.007415,167.93568,118.07977499999998,165.31168499999998,68.22387,65.599875,0.0,115.45578,0.0,0.0,178.43165999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,5.0,-400.0,0.0,-449.99999999999994
18,113.33651633929644,0.0,0.0,0.0,0.0,40.019652561068824,0.0,400.0,400.0,300.0,310.0,55.635000000000005,131.29696583610578,145.2155178245978,134.65569414915558,147.4061532897756,100.719,90.117,246.49649999999997,180.234,294.20550000000003,92.7675,310.1085,169.632,119.2725,166.9815,68.91300000000001,66.2625,0.0,116.622,0.0,0.0,180.23399999999992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,5.0,-400.0,0.0,-450.0
19,86.13884875037482,0.0,0.0,0.0,0.0,79.75417941124857,0.0,400.0,400.0,300.0,310.0,55.63500000000022,146.8512719174414,156.85887933218382,98.1546469945702,156.6726735941814,100.719,90.11699999999999,246.49650000000008,180.234,294.20550000000003,92.7675,310.1085,169.632,119.2725,166.9815,68.91300000000001,66.2625,0.0,116.622,0.0,0.0,180.234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.499999999999886,0.0,5.0,-400.0,0.0,-449.9999999999999
20,50.13011537327175,0.0,0.0,0.0,0.0,44.76000257227906,0.0,400.0,400.0,300.0,310.0,27.00960000000005,144.814719052018,163.3102055747104,120.8379276369738,153.6003097907472,96.69024,86.51232,236.63664000000006,173.02464,282.43728,89.05680000000001,297.70416,162.84672,114.5016,160.30224,66.15648,63.612,0.0,111.95712000000002,0.0,0.0,173.0246400000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-399.99999999999994,0.0,-449.9999999999999
21,7.772237970709284,0.0,0.0,0.0,0.0,0.0,0.0,399.187393123148,400.00000000000006,300.0,301.22784999999993,0.0,147.2975681129556,163.6927839163352,138.6314679351902,146.5253039416618,91.65429,82.0064700000001,224.311815,164.01294,267.727005,84.418425,282.198735,154.36512,108.537975,151.95316499999998,62.71083,60.298875,0.0,106.12602,0.0,0.0,164.01294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-400.0,0.0,-450.0
22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,310.3223776676656,400.0,300.0,243.97705000000002,0.0,126.31282301553179,157.047540350943,163.3062665644284,154.949000767906,83.59676999999999,74.79711,204.59209500000003,149.59422,244.190565,76.99702500000001,257.390055,140.79456,98.996175,138.594645,57.197790000000005,54.997875,0.0,96.79626,0.0,27.78569336647473,149.59422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-400.0,0.0,-450.0
23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,243.9480603398642,400.0,300.0,172.41355000000001,0.0,124.8787938249782,122.9330067900362,163.2727389016436,151.6486957584922,73.52486999999999,65.78541,179.94244500000002,131.57082,214.770015,67.720275,226.379205,123.83136,87.068925,121.896495,50.30649,48.371625,0.0,85.13406,0.0,71.22203061501438,131.57082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-400.0,0.0,-450.0
24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,198.93344073313364,400.0,300.0,100.85005000000012,0.0,137.862201651255,152.791626268359,161.5720097428156,128.6558945240508,63.45297,56.77371000000001,155.29279500000004,113.54742000000002,185.349465,58.44352500000001,195.368355,106.86816,75.141675,105.198345,43.41519,41.745375,0.0,73.47186,91.19024291961387,101.85871500000016,113.54742000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-400.00000000000006,0.0,-450.0
