hour,x_con1,x_con2,x_con3,x_con4,x_con5,x_con6,x_con7,x_con8,x_con9,x_con10,x_con11,x_con12,x_wind1,x_wind2,x_wind3,x_wind4,y1,y2,y3,y4,y5,y6,y7,y8,y9,y10,y11,y12,y13,y14,y15,y16,y17,x_bat_charg1,x_bat_discharg1,x_bat_charg2,x_bat_discharg2,x_bat_charg3,x_bat_discharg3,x_bat_charg4,x_bat_discharg4,x_bat_charg5,x_bat_discharg5,x_angle1,x_angle2,x_angle3,x_angle4,x_angle5,x_angle6,x_angle7,x_angle8,x_angle9,x_angle10,x_angle11,x_angle12,x_angle13,x_angle14,x_angle15,x_angle16,x_angle17,x_angle18,x_angle19,x_angle20,x_angle21,x_angle22,x_angle23,x_angle24
11,0.0,0.0,0.0,0.0,0.0,155.0,155.0,400.0,400.0,300.0,310.0,104.27020625413324,166.9354275271276,88.9871006036082,154.895847893819,187.25637772131242,96.69024,86.51232,236.63664000000003,173.02464,282.43728,89.05680000000001,297.70416,162.84672,114.5016,160.30224,66.15648,63.612,0.0,111.95712000000002,152.6688,155.21328000000022,173.02464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1420110072864073,0.3511211102599567,-0.14089815463886063,-0.015729622973549417,-0.11211022722036126,-0.5333810545728146,-0.30946681457281455,-0.007472341991313942,-0.08220944715431523,0.19801049520163871,0.17429821379351051,0.1714775183287052,0.7102462516234784,1.7440174851739012,1.5685312880453182,2.4208267789023865,2.7481224443309213,0.9573565406938676,0.671875233342417,2.8708264297594566,2.945826604330921,0.6153971259909664,1.047569297716929
12,0.0,0.0,0.0,0.0,0.0,155.0,155.0,400.0,400.0,300.0,310.0,154.49356522386913,161.9204984308834,44.9760281518146,128.2680108500288,164.5330945075574,95.68305,85.61115000000001,234.171675,171.22230000000002,279.495225,88.129125,294.603075,161.1504,113.308875,158.63242499999998,65.46735000000001,62.949375,0.0,110.7909,151.0785,153.596475,171.22230000000002,0.0,2.9210028358471956,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,-0.12577642860472377,0.3651165260699654,-0.11613912373060037,-0.04797399746524163,-0.08996786208357092,-0.5012354100452947,-0.27965361004529465,0.024432881143523044,-0.06000130123411246,0.23291773834507193,0.227115825078473,0.23393048345700662,0.7333088900138713,1.7635645743392472,1.5761446416826708,2.420370273906568,2.7451815525185164,0.9970570567709389,0.740270271859207,2.859198981130465,2.9397846275185167,0.7101012369474751,1.0643405502046062
13,0.0,0.0,0.0,0.0,0.0,155.0,155.0,400.0,400.0,300.0,310.0,153.42189962932815,155.94088317479938,29.2907317833058,125.2943954963214,153.1642899162454,95.68305,85.61115000000001,234.171675,171.22230000000002,279.495225,88.129125,294.603075,161.1504,113.308875,158.63242499999998,65.46735000000001,62.949375,0.0,110.7909,151.0785,153.5964749999999,171.22230000000002,0.0,15.0,0.0,10.0,0.0,10.0,0.0,20.0,0.0,5.0,0.0,-0.11377452451230119,0.3612978178644398,-0.10571546114530853,-0.05615719335213863,-0.06438581239159502,-0.48931059902460233,-0.26772879902460234,0.033278302221684174,-0.044997100270888865,0.2420986228158342,0.24363228059805747,0.2459088684638317,0.7342044208487098,1.750698652179633,1.5687548188815856,2.4102425482584318,2.728684875446855,0.9955431132469248,0.744632207612264,2.836333352635278,2.9232879504468547,0.7203390519776032,1.0559982350220365
14,0.0,0.0,0.0,0.0,0.0,155.0,155.00000000000023,400.0,400.0,300.0,310.00000000000017,147.4661830861741,147.4501265881818,99.6239445412086,137.4807773689476,145.0911684154878,95.68305,85.61115000000001,234.171675,171.22230000000002,279.495225,88.129125,294.603075,161.1504,113.308875,158.63242499999998,65.46735000000001,62.949375,0.0,110.7909,151.0785,153.59647500000008,171.22230000000002,0.0,0.0,0.0,0.0,0.0,-1.5987211554602253e-15,0.0,0.0,0.0,0.0,0.0,-0.1353407819431885,0.323099141641865,-0.13406282561808597,0.003607740301323382,-0.10073722021147946,-0.517443113886377,-0.29586131388637693,-0.0018501692929834177,-0.06613365847977043,0.20418497107360123,0.20058213032407962,0.2016840251166883,0.6830396869504702,1.6639252404425642,1.5043390028273393,2.3263254526427395,2.6400171400504395,0.9353623265356875,0.6886864502440357,2.7429149774581396,2.8346202150504394,0.668628323952384,0.9935121910422147
15,0.0,0.0,0.0,0.0,0.0,155.0,155.0,400.0,400.0,300.0,310.00000000000017,84.9562957409596,144.04566449741182,119.05168571403759,136.3106919442788,142.282342103312,93.66867,83.80881000000001,229.24174500000004,167.61762000000002,273.61111500000004,86.27377500000001,288.400905,157.75776000000002,110.923425,155.292795,64.08909000000001,61.62412500000001,0.0,108.45846000000002,147.8979,150.362865,167.61762000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.14195659259550664,0.3127862161243784,-0.14635401724585717,0.016507716471128198,-0.11189814054066269,-0.5254797551910133,-0.30856283519101324,-0.02257326189620764,-0.08183968848581877,0.17642887038217206,0.15356118644928168,0.14754106575265177,0.6625873661580629,1.65406612642466,1.4839811019339537,2.3137967664997308,2.6345041462826195,0.895400314764803,0.6223350475956523,2.732013336065508,2.82290505128262,0.5711166304265017,0.9834261712745193
16,0.0,0.0,0.0,0.0,0.0,155.0,155.0,400.0,400.0,300.0,310.00000000000074,96.30703176820063,149.04204691157,104.6194759713762,131.205581477533,145.4725438713208,93.66867,83.80881000000001,229.24174500000004,167.61762000000002,273.61111500000004,86.27377500000001,288.400905,157.75776000000002,110.923425,155.292795,64.08909000000001,61.62412500000001,0.0,108.45846000000002,147.8979000000002,150.36286500000006,167.61762000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.13894678833569638,0.3224385052665376,-0.1405996229370235,0.0038456230691587693,-0.10862312207006562,-0.519460146671393,-0.30254322667139294,-0.014074277538350598,-0.07829945580443486,0.18525417788212659,0.16580450876799913,0.16204174126622706,0.6713487036050647,1.6653440737631091,1.4926784693280029,2.3254811283872527,2.6476820054168773,0.9086763586015204,0.640189767875038,2.7466846924465016,2.8360829104168768,0.5935500271485556,0.9938912895148233
17,0.0,0.0,0.0,0.0,0.0,155.0,155.0,400.0,400.0,300.0,309.9999999999999,249.09140455661907,136.4638483567012,115.3398600015912,130.63002157685818,146.5181055082308,99.71181,89.21583,244.031535,178.43166,291.263445,91.839825,307.007415,167.93568,118.07977499999998,165.31168499999998,68.22387,65.599875,0.0,115.45578,157.4397,160.063695,178.43166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.13249116234854835,0.30504279888565955,-0.1299282443326686,0.0268719834628889,-0.0891135827129765,-0.5221338346970967,-0.2912222746970967,0.00908241368321116,-0.045736003077404615,0.22531555413522025,0.2563316244249412,0.26389104891352977,0.6740247570215447,1.6224405136350704,1.4795972799078692,2.284549679822423,2.5835221722797006,0.949793775998722,0.7558616320895749,2.6965094947369774,2.7905295872797007,0.7980890381804279,0.9637416562603649
18,0.0,0.0,0.0,0.0,0.0,155.0,155.0,400.0,400.0,300.0,310.0000000000002,230.0084470135498,131.29696583610578,145.2155178245978,134.65569414915558,147.4061532897756,100.719,90.117,246.49650000000003,180.234,294.20550000000003,92.7675,310.1085,169.632,119.2725,166.9815,68.91300000000001,66.2625,0.0,116.622,159.03,161.6805,180.234,0.0,0.0,0.0,6.200000000000005,0.0,8.493221886816114,0.0,0.0,0.0,0.0,0.0,-0.13900572864888436,0.2863726988667621,-0.14239833357973544,0.05407102978212228,-0.09438485236691771,-0.5377604572977688,-0.3045164572977687,-0.007964938510586446,-0.04976397608495105,0.20630215977934555,0.2377762396784637,0.23573320724839245,0.6472043464645273,1.5905315080105602,1.4485745331497089,2.25072246029651,2.5467421738699105,0.9120634295289287,0.7148163259081485,2.6629788874433107,2.75685067386991,0.7561142222873682,0.9384521034386611
19,0.0,0.0,0.0,0.0,0.0,155.0,155.0,400.0,400.0,300.0,310.0,244.73852816162142,146.8512719174414,156.85887933218382,98.1546469945702,156.6726735941814,100.719,90.117,246.49650000000003,180.234,294.20550000000003,92.7675,310.1085,169.632,119.2725,166.9815,68.91300000000001,66.2625,0.0,116.622,159.03,161.68049999999783,180.234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.14501873992023853,0.2872023793268149,-0.15097083106183581,0.05925436059342328,-0.10385138869887982,-0.549786479840477,-0.316542479840477,-0.01909692220343305,-0.06268403747752108,0.1867330632686691,0.22145425728965917,0.22069807734948,0.6080151354061502,1.5547266533711768,1.3897652075436313,2.2057589718822674,2.5087016040515855,0.8697857755257912,0.689070343507951,2.631861236220903,2.7188101040515855,0.746899911490111,0.9209645163489959
20,0.0,0.0,0.0,0.0,0.0,155.0,155.00000000000085,400.0,400.0,300.0,310.0,119.78179794555041,144.814719052018,163.3102055747104,120.8379276369738,153.6003097907472,96.69024,86.51232,236.63664000000003,173.02464,282.43728,89.05680000000001,297.70416,162.84672,114.5016,160.30224,66.15648,63.612,0.0,111.95712000000002,152.6688,155.21327999999997,173.02464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.15206238440355307,0.28949500461122313,-0.1633809752265022,0.055947859792329926,-0.11978153798415701,-0.5534838088071061,-0.32956956880710614,-0.04238660604945134,-0.08750069156476097,0.15518351094984428,0.1467655582252842,0.1364063299226194,0.6142150114909701,1.5941983189469466,1.4192957920320959,2.2489593475308776,2.5649390452802683,0.8462482348856405,0.5988941177391852,2.6763270630296594,2.7626432052802685,0.5805432005927298,0.9418466617790848
21,0.0,0.0,0.0,0.0,0.0,155.0,155.00000000000034,400.0,400.0,300.0,290.03403609385686,0.0,147.2975681129556,163.6927839163352,138.6314679351902,146.5253039416618,91.65429,82.00647000000001,224.311815,164.01294,267.727005,84.418425,282.198735,154.36512,108.537975,151.95316499999998,62.71083,60.298875,0.0,106.12602,144.7173,147.12925499999997,164.01294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1587554594651962,0.29638369942423964,-0.17516213978761191,0.04568034004095661,-0.13709129860797667,-0.5538825089303924,-0.3416304689303924,-0.06614716011002762,-0.11542713775075715,0.11981651992390058,0.06411509881972609,0.043335670470828966,0.6175047070855583,1.632835204889431,1.4432187742472158,2.288575718755729,2.6201548235099854,0.815533380387764,0.4965782265283121,2.716131398264242,2.8023535585099855,0.39469902266886026,0.9646094521568354
22,0.0,0.0,0.0,0.0,0.0,155.0,0.0,400.0,400.0,300.0,237.70344930119407,0.0,126.31282301553179,157.047540350943,163.3062665644284,154.949000767906,83.59676999999999,74.79711,204.59209500000003,149.59422,244.190565,76.99702500000001,257.390055,140.79456,98.996175,138.594645,57.197790000000005,54.997875,0.0,96.79626,131.9949,134.19481500000236,149.59422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.15113757191270355,0.27548025941422816,-0.16905089692929148,0.042850852498475596,-0.13476759880881917,-0.5178668138254071,-0.3242742938254071,-0.07256864194587945,-0.11839762570493481,0.09142925588797703,0.031962095723100985,0.008255453038574107,0.5484278381641483,1.5716658689007714,1.3046148604403194,2.2062078087724077,2.5783092554384517,0.7195394427950945,0.4160531451498693,2.6651908121044956,2.7356993104384517,0.3105591975046441,0.9235730641574997
23,0.0,0.0,0.0,0.0,0.0,121.55479542365651,0.0,400.0,400.0,300.0,57.70344930119406,0.0,124.8787938249782,122.9330067900362,163.2727389016436,151.6486957584922,73.52486999999999,65.78541,179.94244500000002,131.57082,214.770015,67.720275,226.379205,123.83136,87.068925,121.896495,50.30649,48.371625,0.0,85.13406,116.0919,118.026765,131.57082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.14691176439460002,0.28997114322439693,-0.16513757036666693,0.003990361170203073,-0.14402690281713312,-0.48344029878920003,-0.3131721787892,-0.08275039633873385,-0.14114204123966625,0.06406772877062697,-0.05342757453282623,-0.08476564907877603,0.5649290017396839,1.6034273134995396,1.3289319147087408,2.2618169731446685,2.6650698998626323,0.6944494426477843,0.3076296905868277,2.7210812365805963,2.7914491048626324,0.09494778852587121,0.9466992283619683
24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400.0,400.0,288.93326781352016,0.0,0.0,137.862201651255,152.791626268359,161.5720097428156,128.6558945240508,63.45297,56.77371000000001,155.29279500000004,113.54742000000002,185.349465,58.44352500000001,195.368355,106.86816,75.141675,105.198345,43.41519,41.745375,80.15112,73.47186,100.1889,101.858715,113.54742000000002,0.0,7.993605777301126e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.18026753564636913,0.2746263734245286,-0.17847115006940437,0.03254710222184056,-0.24878403686970305,-0.4440258212927382,-0.2970821012927382,-0.08984438449243957,-0.15699829809303692,0.040843466245319704,-0.08542108076990348,-0.11250121125468034,0.5227177588214356,1.4221652095025024,1.2316868913975516,2.141181839928755,2.553778502787597,0.634425787851882,0.2509010043062124,2.5571118756464393,2.6380801256011175,0.017659570760542868,0.8483957914635155
