Scenario,Profit,In_Out
204,40022.655415049245,In
205,120727.36076449518,In
206,332983.4813797474,In
207,283165.5558199543,In
208,479262.02440837485,In
209,205497.60889198535,In
210,51137.32727629752,In
211,11201.82558225125,In
212,167356.53095070767,In
213,99418.08443071174,In
214,161413.7777624015,In
215,226201.99293865086,In
216,332406.338990189,In
217,93173.33064774214,In
218,219380.05211272952,In
219,71121.50768312183,In
220,22144.900410924147,In
221,53882.96592886714,In
222,165725.17481687467,In
223,66654.32060260503,In
224,75696.57114303389,In
225,142597.02512055886,In
226,43433.41884977418,In
227,197152.44762749996,In
228,409037.6826995674,In
229,305048.34173126897,In
230,284300.71112499887,In
231,21235.200268289555,In
232,170521.94536863314,In
233,111606.49303303752,In
234,205139.79143310996,In
235,188945.69733168802,In
236,150930.07772349703,In
237,137164.87129251263,In
238,132828.113610794,In
239,300000.8836391075,In
240,306099.08375063044,In
241,218591.26051682545,In
242,393823.44213437015,In
243,127909.23717295373,In
244,62510.49740745968,In
245,83655.95203347589,In
246,220292.8774498872,In
247,37430.47769025104,In
248,90633.2366076929,In
249,223124.2136342504,In
250,108187.35956953837,In
251,-27271.136688572355,Out
252,-27271.136688572355,Out
253,-27271.136688572355,Out
254,-27271.136688572355,Out
255,-27271.136688572355,Out
256,-27271.136688572355,Out
257,-27271.136688572355,Out
258,-27271.136688572355,Out
259,-27271.136688572355,Out
260,-27271.136688572355,Out
261,-27271.136688572355,Out
262,-27271.136688572355,Out
263,-27271.136688572355,Out
264,-27271.136688572355,Out
265,-27271.136688572355,Out
266,-27271.136688572355,Out
267,-27271.136688572355,Out
268,-27271.136688572355,Out
269,-27271.136688572355,Out
270,-27271.136688572355,Out
271,-27271.136688572355,Out
272,-27271.136688572355,Out
273,-27271.136688572355,Out
274,-27271.136688572355,Out
275,-27271.136688572355,Out
276,-27271.136688572355,Out
277,-27271.136688572355,Out
278,-27271.136688572355,Out
279,-27271.136688572355,Out
280,-27271.136688572355,Out
281,-27271.136688572355,Out
282,-27271.136688572355,Out
283,-27271.136688572355,Out
284,-27271.136688572355,Out
285,-27271.136688572355,Out
286,-27271.136688572355,Out
287,-27271.136688572355,Out
