Scenario,Profit,In_Out
313,67519.93408610235,Out
314,67702.86739815224,Out
315,331705.8820703723,Out
316,332076.03038200183,Out
317,95447.6175545724,Out
318,95380.0823856319,Out
319,95018.65930005255,Out
320,48512.56484744289,Out
321,220404.0743938611,Out
322,220352.97773217055,Out
323,219163.17694505738,Out
324,192780.3903081251,Out
325,193050.690778767,Out
326,191680.82682886437,Out
327,285502.0475182642,Out
328,284139.68669331376,Out
329,159146.6925570191,Out
330,158539.30506101434,Out
331,158901.96299329083,Out
332,238149.27945108947,Out
333,238585.24088429008,Out
334,543768.5503140048,Out
335,540444.7603449017,Out
336,23648.027297337587,Out
337,23648.027297337587,Out
338,23648.027297337587,Out
339,149030.5217512559,Out
340,111932.5216066481,Out
341,111609.77324444301,Out
342,112225.05396565696,Out
343,345217.9526815855,Out
344,227538.16717617022,Out
345,226079.4461865235,Out
346,263811.9699289806,Out
347,285134.2008148032,Out
348,285484.9525508824,Out
349,284357.13151526364,Out
350,407892.15341832384,Out
351,408260.84524413454,Out
352,403702.6122635974,Out
353,137709.31985909,Out
354,137175.09599773926,Out
355,138418.79997484034,Out
356,202560.34507767926,Out
357,203063.9497217773,Out
358,47619.63980185771,Out
359,47678.68273528826,Out
360,47748.83571809204,Out
361,262912.71629925177,Out
362,259855.7045476157,Out
363,71738.60049475658,Out
364,71712.68815272197,Out
365,71210.6685063201,Out
366,34781.6726837858,Out
367,35022.40489127062,Out
368,174502.6267387402,Out
369,174624.7241799768,Out
370,172886.67970612406,Out
371,147460.72535300045,Out
372,147822.20166337263,Out
373,202550.5315936507,Out
374,201490.5441048188,Out
375,119544.47075427602,Out
376,118876.66657721798,Out
377,181327.4569768566,Out
378,180564.82225933336,Out
379,414142.7252729443,Out
380,414804.9564713066,Out
381,410347.36965121276,Out
382,20119.987391507748,Out
383,20119.987391507748,Out
384,20119.987391507748,Out
385,116076.18849023146,Out
386,116133.04165562178,Out
387,115122.1506187644,Out
388,76659.23788852814,Out
389,76499.90900157108,Out
390,376800.4607452321,Out
391,255026.5147942121,Out
392,334099.46591693355,Out
393,333780.1674560641,Out
394,335519.86042004277,Out
395,348825.4475168452,Out
396,347936.8855666587,Out
397,349227.10194270505,Out
398,418514.0687720483,Out
399,418103.11258608697,Out
400,415155.1605201571,Out
401,190838.0948717069,Out
402,189469.17433350655,Out
403,192497.40755117862,Out
404,234993.36284852703,Out
405,235345.8274154533,Out
406,53424.22210562811,Out
407,53447.45258778597,Out
408,53671.831431381055,Out
409,255123.11721269984,Out
410,252277.49579626461,Out
411,74211.33521533091,Out
412,74088.95078771797,Out
413,73829.3106934507,Out
414,39349.04678749456,Out
415,39546.11643857241,Out
416,39611.73452120098,Out
417,182809.25962181055,Out
418,181903.49497932073,Out
419,245264.24663376878,Out
420,243660.3068056907,Out
421,134483.52732506496,Out
422,133933.3741040313,Out
423,134287.10225650403,Out
424,207763.992750223,Out
425,206333.16548102922,Out
426,206897.1984277771,Out
427,431988.7314495684,Out
428,429110.0163592184,Out
429,20938.397573979684,Out
430,20938.397573979684,Out
431,92187.68259051007,Out
432,91828.08260074539,Out
433,92479.34461642872,Out
434,284340.1118754274,Out
435,283654.75524773786,Out
436,192065.25069080037,Out
437,257069.8336061673,Out
438,258494.98439061362,Out
439,267600.97360661323,Out
440,266659.76515033847,Out
441,268299.15500546363,Out
442,308900.46566961834,Out
443,308406.63266778225,Out
444,307074.2333014872,Out
445,152350.89270608244,Out
446,151198.5985796442,Out
447,153800.62956369095,Out
448,178234.1494127776,Out
449,177886.78892258517,Out
