date,hour,wind power
2023-11-14,6,29.8094999516129
2023-11-14,7,28.916322467741935
2023-11-14,8,25.069548322580644
2023-11-14,9,22.462080580645164
2023-11-14,10,20.91061279032258
2023-11-14,11,23.08619351612903
2023-11-14,12,27.6609354516129
2023-11-14,13,37.08238709677419
2023-11-14,14,42.39274193548387
2023-11-14,15,42.439516129032256
2023-11-14,16,41.86709675806451
2023-11-14,17,37.85241935483871
2023-11-14,18,33.662258064516124
2023-11-14,19,34.482419338709676
2023-11-14,20,32.46770961290323
2023-11-14,21,36.817741935483866
2023-11-14,22,35.84129030645161
2023-11-14,23,29.989693435483865
2023-11-15,0,24.141386999999998
2023-11-15,1,18.69132248387097
2023-11-15,2,14.241241822580644
2023-11-15,3,11.442016096774193
2023-11-15,4,9.775016096774193
2023-11-15,5,10.118435435483871
2023-11-15,6,11.175709596774194
2023-11-15,7,12.638490902132313
2023-11-15,8,13.268231096774194
2023-11-15,9,12.372876279569892
2023-11-15,10,10.7459891827957
2023-11-15,11,8.875811784946237
2023-11-15,12,7.581731155913979
2023-11-15,13,8.86736556451613
2023-11-15,14,10.802951569892473
2023-11-15,15,12.461731134408604
2023-11-15,16,15.229709618279571
2023-11-15,17,17.11290853763441
2023-11-15,18,19.43440858064516
2023-11-15,19,26.806075231182795
2023-11-15,20,26.748322467741932
2023-11-15,21,21.633747236559138
2023-11-15,22,20.795392408602154
2023-11-15,23,17.1839622688172
2023-11-16,0,15.765671978494625
2023-11-16,1,13.819532177419354
2023-11-16,2,11.804774118279571
2023-11-16,3,7.459037602150538
2023-11-16,4,5.686585983870968
2023-11-16,5,4.629854827956989
2023-11-16,6,3.7196720322580648
2023-11-16,7,3.307792462365591
2023-11-16,8,3.534924715053764
2023-11-16,9,3.8709523809523807
2023-11-16,10,5.287016112903227
2023-11-16,11,6.859629016129032
2023-11-16,12,7.959645161290322
2023-11-16,13,8.658790306451614
2023-11-16,14,10.917677370967741
2023-11-16,15,11.262854806451614
2023-11-16,16,11.027548338709677
2023-11-16,17,16.16829027419355
2023-11-16,18,20.62733866129032
2023-11-16,19,21.76080635483871
2023-11-16,20,24.6956935
2023-11-16,21,29.22491924193548
2023-11-16,22,32.44616127419355
2023-11-16,23,39.5277419032258
2023-11-17,0,46.952419338709674
2023-11-17,1,56.970806435483865
2023-11-17,2,62.2
2023-11-17,3,69.69838708064516
2023-11-17,4,73.26693546774193
2023-11-17,5,76.30161288709677
2023-11-17,6,76.81935479032258
2023-11-17,7,74.80241935483872
2023-11-17,8,73.12709672580645
2023-11-17,9,68.92080643548387
2023-11-17,10,64.78983870967741
2023-11-17,11,63.42161288709678
2023-11-17,12,60.35048382258065
2023-11-17,13,59.40806448387097
2023-11-17,14,54.92258062903225
2023-11-17,15,49.98564512903226
2023-11-17,16,43.77903224193548
2023-11-17,17,39.090161290322584
2023-11-17,18,37.224516096774195
2023-11-17,19,37.544838709677414
2023-11-17,20,43.55661287096774
2023-11-17,21,44.9769354516129
2023-11-17,22,39.84312392190152
2023-11-17,23,39.17193546774194
2023-11-18,0,38.95612901612903
2023-11-18,1,37.586935483870974
2023-11-18,2,33.74580645161291
2023-11-18,3,31.727548322580645
2023-11-18,4,28.28153211290323
2023-11-18,5,27.35158056451613
2023-11-18,6,25.188661225806452
2023-11-18,7,23.618596661290322
2023-11-18,8,22.975096661290323
2023-11-18,9,20.113790177419354
2023-11-18,10,16.809886951612903
2023-11-18,11,16.479725741935482
2023-11-18,12,16.370016096774194
2023-11-18,13,18.17087093548387
2023-11-18,14,17.559709645161288
2023-11-18,15,16.458790290322582
2023-11-18,16,17.638532193548386
2023-11-18,17,20.44822579032258
2023-11-18,18,25.839193516129033
2023-11-18,19,25.205016016129033
2023-11-18,20,24.102403177419358
2023-11-18,21,21.05330635483871
2023-11-18,22,20.497709548387096
2023-11-18,23,20.04506443548387
2023-11-19,0,22.19282248387097
2023-11-19,1,21.70796764516129
2023-11-19,2,19.92262893548387
2023-11-19,3,17.736257951612906
2023-11-19,4,15.484096677419357
2023-11-19,5,14.603161225806453
2023-11-19,6,15.729757983870968
2023-11-19,7,17.470338612903227
2023-11-19,8,16.75011280645161
2023-11-19,9,17.22579027419355
2023-11-19,10,17.21372569354839
2023-11-19,11,17.80164512903226
2023-11-19,12,18.257903177419358
2023-11-19,13,19.867774129032256
2023-11-19,14,22.877274145161287
2023-11-19,15,24.883741903225808
2023-11-19,16,28.56040319354839
2023-11-19,17,32.55804837096775
2023-11-19,18,34.045967741935485
2023-11-19,19,33.56580643548387
2023-11-19,20,33.6766129032258
2023-11-19,21,31.163096645161293
2023-11-19,22,28.89370958064516
2023-11-19,23,25.757580516129032
2023-11-20,0,22.337241838709677
2023-11-20,1,18.609870870967743
2023-11-20,2,15.949935451612903
2023-11-20,3,13.469580564516129
2023-11-20,4,9.242903161290323
2023-11-20,5,5.90827414516129
2023-11-20,6,4.51948385483871
2023-11-20,7,2.7339112741935483
2023-11-20,8,1.1038967741935486
2023-11-20,9,0.9774112741935483
2023-11-20,10,0.7919354838709678
2023-11-20,11,0.7419306451612904
2023-11-20,12,0.9741935483870968
2023-11-20,13,1.167741935483871
2023-11-20,14,1.3273499999999998
2023-11-20,15,2.3072451612903224
2023-11-20,16,3.326635483870968
2023-11-20,17,4.499983870967742
2023-11-20,18,5.493548387096774
2023-11-20,19,5.038725790322581
2023-11-20,20,4.493516129032258
2023-11-20,21,4.803145161290321
2023-11-20,22,6.808774177419355
2023-11-20,23,10.68530643548387
2023-11-21,0,14.834548354838711
2023-11-21,1,13.843645080645162
2023-11-21,2,12.327128983870969
2023-11-21,3,11.041822564516128
2023-11-21,4,9.655741903225806
2023-11-21,5,8.148338677419355
2023-11-21,6,9.888854741935482
2023-11-21,7,7.752435419354839
2023-11-21,8,5.88877753820034
2023-11-21,9,4.22921896434635
2023-11-21,10,3.196774193548387
2023-11-21,11,2.0016515967741935
2023-11-21,12,1.5354935483870966
2023-11-21,13,1.8257370483870967
2023-11-21,14,1.3903612741935485
2023-11-21,15,1.0
2023-11-21,16,0.7419354838709677
2023-11-21,17,0.26290903225806456
2023-11-21,18,0.17258064516129032
2023-11-21,19,0.8427048064516129
2023-11-21,20,2.167635467741935
2023-11-21,21,5.207096758064516
2023-11-21,22,10.515096774193548
2023-11-21,23,18.331048370967743
2023-11-22,0,26.606983854838706
2023-11-22,1,37.09112901612904
2023-11-22,2,48.83548385483871
2023-11-22,3,64.51822580645161
2023-11-22,4,83.61548382258066
2023-11-22,5,97.41370966129031
2023-11-22,6,108.29564508064516
2023-11-22,7,122.28838703225809
2023-11-22,8,131.6169354032258
2023-11-22,9,139.74870959677418
2023-11-22,10,148.6740322419355
2023-11-22,11,157.06774191935483
2023-11-22,12,164.25145158064515
2023-11-22,13,170.0787096451613
2023-11-22,14,170.0267741935484
2023-11-22,15,171.87806446774192
2023-11-22,16,170.61951609677416
2023-11-22,17,172.83693546774194
2023-11-22,18,175.12741933870964
2023-11-22,19,172.01532253225807
2023-11-22,20,156.69483869354838
2023-11-22,21,137.2188709516129
2023-11-22,22,124.18596767741936
2023-11-22,23,110.35774187096776
2023-11-23,0,92.6606451451613
2023-11-23,1,83.94467741935483
2023-11-23,2,83.4085483548387
2023-11-23,3,72.51370967741936
2023-11-23,4,66.28645159677419
2023-11-23,5,61.42370964516128
2023-11-23,6,56.48693548387097
2023-11-23,7,46.893870935483875
2023-11-23,8,42.18887093548387
2023-11-23,9,31.177693451612903
2023-11-23,10,19.371112725806448
2023-11-23,11,16.212935435483868
2023-11-23,12,14.621822516129033
2023-11-23,13,13.100806387096775
2023-11-23,14,11.482386999999997
2023-11-23,15,9.227532177419356
2023-11-23,16,8.55732248387097
2023-11-23,17,10.795741903225807
2023-11-23,18,15.994161258064516
2023-11-23,19,22.141612838709676
2023-11-23,20,25.912080580645164
2023-11-23,21,30.082048338709676
2023-11-23,22,34.087741935483876
2023-11-23,23,40.02193546774193
2023-11-24,0,42.776612887096775
2023-11-24,1,49.15645159677419
2023-11-24,2,51.24129029032258
2023-11-24,3,56.87725803225807
2023-11-24,4,67.07741932258065
2023-11-24,5,71.06677417741936
2023-11-24,6,74.2290322580645
2023-11-24,7,69.22822577419355
2023-11-24,8,66.83032256451614
2023-11-24,9,70.71451611290323
2023-11-24,10,76.43016122580644
2023-11-24,11,85.00790317741935
2023-11-24,12,83.08435477419354
2023-11-24,13,93.99596772580647
2023-11-24,14,103.37774187096772
2023-11-24,15,107.94951611290323
2023-11-24,16,107.87096774193547
2023-11-24,17,108.61451612903225
2023-11-24,18,104.5193548064516
2023-11-24,19,103.30693548387097
2023-11-24,20,100.99193548387098
2023-11-24,21,101.54790320967741
2023-11-24,22,103.61290320967743
2023-11-24,23,114.60032253225808
2023-11-25,0,103.97435482258066
2023-11-25,1,100.99096770967742
2023-11-25,2,96.05693541935484
2023-11-25,3,93.43661290322581
2023-11-25,4,101.84241935483871
2023-11-25,5,113.72016129032258
2023-11-25,6,111.38451612903224
2023-11-25,7,100.28258061290323
2023-11-25,8,83.97741932258064
2023-11-25,9,71.34629029032257
2023-11-25,10,72.54048387096775
2023-11-25,11,75.58177416129033
2023-11-25,12,71.37612901612904
2023-11-25,13,67.20677416129031
2023-11-25,14,62.16564512903226
2023-11-25,15,48.384032241935486
2023-11-25,16,35.684758
2023-11-25,17,22.194644999999998
2023-11-25,18,15.153290258064517
2023-11-25,19,13.843451596774194
2023-11-25,20,14.674145161290323
2023-11-25,21,12.557354758064514
2023-11-25,22,9.499151086587435
2023-11-25,23,7.376661258064517
2023-11-26,0,4.875822564516128
2023-11-26,1,4.26291929032258
2023-11-26,2,4.837096774193548
2023-11-26,3,5.569370951612903
2023-11-26,4,6.153193532258064
2023-11-26,5,6.967725806451612
2023-11-26,6,9.211209677419355
2023-11-26,7,12.924919306451613
2023-11-26,8,12.454935435483872
2023-11-26,9,11.454790306451613
2023-11-26,10,11.615322516129032
2023-11-26,11,9.733128983870968
2023-11-26,12,10.37175806451613
2023-11-26,13,13.81759677419355
2023-11-26,14,16.882193548387097
2023-11-26,15,23.43838708064516
2023-11-26,16,32.401516112903224
2023-11-26,17,45.69177419354839
2023-11-26,18,55.41467740322581
2023-11-26,19,58.866129032258065
2023-11-26,20,56.818548387096776
2023-11-26,21,52.36790320967742
2023-11-26,22,55.656451612903226
2023-11-26,23,60.94516129032258
2023-11-27,0,63.729193532258066
2023-11-27,1,71.0724193548387
2023-11-27,2,78.56741935483872
2023-11-27,3,78.04032258064517
2023-11-27,4,74.63387096774193
2023-11-27,5,82.40096774193549
2023-11-27,6,97.7367741935484
2023-11-27,7,103.09112903225805
2023-11-27,8,113.20467741935482
2023-11-27,9,115.99258064516127
2023-11-27,10,116.08870964516127
2023-11-27,11,117.81903225806454
2023-11-27,12,132.326129
2023-11-27,13,151.762258016129
2023-11-27,14,157.65935477419356
2023-11-27,15,152.1075806451613
2023-11-27,16,145.10790317741936
2023-11-27,17,143.44258058064514
2023-11-27,18,151.19612903225806
2023-11-27,19,161.48693546774194
2023-11-27,20,165.36112901612904
2023-11-27,21,169.10096772580644
2023-11-27,22,169.54854837096772
2023-11-27,23,168.2817741451613
2023-11-28,0,173.5608064516129
2023-11-28,1,178.14274191935485
2023-11-28,2,177.22306448387096
2023-11-28,3,179.0246774032258
2023-11-28,4,177.0482258064516
2023-11-28,5,156.0398387096774
2023-11-28,6,142.73338708064514
2023-11-28,7,139.1074193548387
2023-11-28,8,133.42032258064518
2023-11-28,9,129.46467738709677
2023-11-28,10,129.42080643548388
2023-11-28,11,130.40822579032258
2023-11-28,12,128.30451608064516
2023-11-28,13,127.32145156451615
2023-11-28,14,127.42258062903224
2023-11-28,15,127.56854838709677
2023-11-28,16,131.9919354516129
2023-11-28,17,140.63967738709675
2023-11-28,18,144.17822577419352
2023-11-28,19,144.64790316129032
2023-11-28,20,147.06532254838706
2023-11-28,21,147.53725799999998
2023-11-28,22,144.39435479032255
2023-11-28,23,141.23387093548385
2023-11-29,0,140.86774191935484
2023-11-29,1,137.6370966935484
2023-11-29,2,128.7379031935484
2023-11-29,3,122.68983866129032
2023-11-29,4,117.72951604838708
2023-11-29,5,106.8429031935484
2023-11-29,6,103.65758064516129
2023-11-29,7,94.40870967741935
2023-11-29,8,85.04414259762308
2023-11-29,9,78.85919351612904
2023-11-29,10,71.77806451612902
2023-11-29,11,68.45387093548389
2023-11-29,12,65.71903220967742
2023-11-29,13,65.29612901612903
2023-11-29,14,65.83354832258064
2023-11-29,15,60.78661287096774
2023-11-29,16,56.66193548387096
2023-11-29,17,53.014516129032266
2023-11-29,18,47.21370967741935
2023-11-29,19,43.791935483870965
2023-11-29,20,40.61870966129032
2023-11-29,21,38.89032258064516
2023-11-29,22,36.42903225806452
2023-11-29,23,36.66451612903225
2023-11-30,0,34.00727417741935
2023-11-30,1,31.453370870967746
2023-11-30,2,32.01446769354838
2023-11-30,3,32.62270961290322
2023-11-30,4,30.287016032258062
2023-11-30,5,30.328435403225807
2023-11-30,6,29.285596661290324
2023-11-30,7,25.75230640322581
2023-11-30,8,29.09664508064516
2023-11-30,9,30.547499838709673
2023-11-30,10,31.204838612903224
2023-11-30,11,35.821129032258064
2023-11-30,12,44.31677419354839
2023-11-30,13,54.39096774193549
2023-11-30,14,56.36967740322581
2023-11-30,15,61.47129025806451
2023-11-30,16,66.26677417741935
2023-11-30,17,74.45258064516128
2023-11-30,18,81.85032258064516
2023-11-30,19,84.18274188709677
2023-11-30,20,84.06161283870968
2023-11-30,21,80.41322580645162
2023-11-30,22,76.28870966129031
2023-11-30,23,65.15435479032257
2023-12-01,0,60.77177419354839
2023-12-01,1,58.69096772580645
2023-12-01,2,59.963870951612904
2023-12-01,3,65.33306449999999
2023-12-01,4,68.38790322580645
2023-12-01,5,71.42193543548389
2023-12-01,6,67.11564516129033
2023-12-01,7,60.65096770967742
2023-12-01,8,56.111290274193536
2023-12-01,9,49.564193483870966
2023-12-01,10,44.63225806451613
2023-12-01,11,40.98548385483871
2023-12-01,12,38.116129
2023-12-01,13,40.66274193548388
2023-12-01,14,42.96612901612903
2023-12-01,15,44.05548387096774
2023-12-01,16,45.27435482258064
2023-12-01,17,48.43709677419354
2023-12-01,18,45.15
2023-12-01,19,42.11322580645162
2023-12-01,20,41.650000000000006
2023-12-01,21,41.903064500000006
2023-12-01,22,45.369032258064514
2023-12-01,23,51.33548387096775
2023-12-02,0,48.60838706451613
2023-12-02,1,46.612096774193546
2023-12-02,2,46.388548387096776
2023-12-02,3,45.84677419354839
2023-12-02,4,44.0258064516129
2023-12-02,5,44.7388709516129
2023-12-02,6,40.52258064516129
2023-12-02,7,38.31209677419355
2023-12-02,8,36.35580643548387
2023-12-02,9,32.9355160967742
2023-12-02,10,27.856677274193554
2023-12-02,11,23.346080548387096
2023-12-02,12,24.73285483870968
2023-12-02,13,26.35640319354839
2023-12-02,14,27.726596725806452
2023-12-02,15,28.821854774193547
2023-12-02,16,29.84106451612903
2023-12-02,17,33.183838709677424
2023-12-02,18,33.44332256451613
2023-12-02,19,34.063709677419354
2023-12-02,20,37.439516129032256
2023-12-02,21,40.375
2023-12-02,22,42.204032258064515
2023-12-02,23,45.13322579032258
2023-12-03,0,41.788709677419355
2023-12-03,1,38.84032258064516
2023-12-03,2,33.88066127419355
2023-12-03,3,29.06240306451613
2023-12-03,4,24.770338645161292
2023-12-03,5,22.769532129032257
2023-12-03,6,21.21861283870968
2023-12-03,7,20.506306451612904
2023-12-03,8,20.071758032258067
2023-12-03,9,18.248370935483873
2023-12-03,10,15.810596693548387
2023-12-03,11,13.283887080645162
2023-12-03,12,13.196935435483873
2023-12-03,13,10.193677387096775
2023-12-03,14,9.21853222580645
2023-12-03,15,8.291951596774194
2023-12-03,16,7.48470964516129
2023-12-03,17,6.866967741935485
2023-12-03,18,6.40564514516129
2023-12-03,19,6.212903225806452
2023-12-03,20,5.841967693548387
2023-12-03,21,5.088725790322581
2023-12-03,22,5.870983854838709
2023-12-03,23,5.338709677419355
2023-12-04,0,5.7806612903225805
2023-12-04,1,5.435483870967742
2023-12-04,2,4.972677370967742
2023-12-04,3,3.9225645000000005
2023-12-04,4,4.016129032258064
2023-12-04,5,3.9710161290322588
2023-12-04,6,3.1855403064516135
2023-12-04,7,2.625877403225806
2023-12-04,8,2.453238693548387
2023-12-04,9,2.0919354838709676
2023-12-04,10,1.7951080483870965
2023-12-04,11,2.7903225806451615
2023-12-04,12,3.206451612903226
2023-12-04,13,2.8734451451612903
2023-12-04,14,2.6629145161290326
2023-12-04,15,2.358064516129032
2023-12-04,16,2.58055
2023-12-04,17,2.603266129032258
2023-12-04,18,2.485490322580645
2023-12-04,19,3.2839516129032256
2023-12-04,20,3.69758064516129
2023-12-04,21,3.659677419354839
2023-12-04,22,2.9791096612903227
2023-12-04,23,2.1822677419354837
2023-12-05,0,1.7822870806451614
2023-12-05,1,1.7548387096774192
2023-12-05,2,1.8048225322580647
2023-12-05,3,1.6467677419354838
2023-12-05,4,2.0354741451612903
2023-12-05,5,2.045148370967742
