hour,objective_value,x_con1,x_con2,x_con3,x_con4,x_con5,x_con6,x_con7,x_con8,x_con9,x_con10,x_con11,x_con12,x_wind1,x_wind2,x_wind3,x_wind4,y1,y2,y3,y4,y5,y6,y7,y8,y9,y10,y11,y12,y13,y14,y15,y16,y17
14,37715.07160288275,106.4,106.4,0.0,0.0,0.0,108.5,108.5,280.0,280.0,210.0,217.0,245.0,147.4501265881818,99.6239445412086,137.4807773689476,145.0911684154878,121.38623807132092,62.98342541436464,0.0,0.0,66.41888498242089,159.17629331993973,96.19286790557508,12.219497576809545,171.77297840281264,154.59568056253138,234.75640381717727,171.77297840281264,88.1767955801105,280.5625313912607,114.51531893520844,161.46659969864388,295.44952285283773
15,32774.56890620581,0.0,0.0,0.0,0.0,0.0,108.5,108.5,280.0,280.0,210.0,217.0,245.0,144.04566449741182,119.05168571403759,136.3106919442788,142.282342103312,118.83073832245104,61.65745856353592,108.74133601205423,0.0,65.02059266700151,155.8252134605726,94.16775489703667,84.07835258663988,168.15670517327976,151.3410346559518,229.8141637368157,168.15670517327976,86.32044198895028,0.0,112.10447011551985,97.24588400790992,289.2295328980412
16,27623.726377450388,0.0,0.0,0.0,0.0,0.0,108.5,108.5,280.0,280.0,210.0,217.0,245.0,149.04204691157,104.6194759713762,131.205581477533,145.4725438713208,118.83073832245104,0.0,0.0,147.9779005524862,65.02059266700151,155.8252134605726,94.16775489703667,84.07835258663988,168.15670517327976,151.3410346559518,229.8141637368157,0.0,86.32044198895028,118.40544431417067,112.10447011551985,158.067302862883,289.2295328980412
17,46764.78692797381,106.4,106.4,0.0,0.0,0.0,108.5,108.5,280.0,280.0,210.0,217.0,245.0,136.4638483567012,115.3398600015912,130.63002157685818,146.5181055082308,126.49723756906076,65.63535911602209,115.75690607734803,157.524861878453,0.0,165.87845303867402,100.24309392265192,89.50276243093921,179.00552486187843,161.10497237569058,163.21592384117184,179.00552486187843,91.88950276243092,0.0,119.33701657458562,168.26519337016572,307.8895027624309
18,45844.229768722944,106.4,106.4,0.0,0.0,0.0,108.5,108.5,280.0,280.0,210.0,217.0,245.0,131.29696583610578,145.2155178245978,134.65569414915558,147.4061532897756,127.77498744349572,66.29834254143645,116.92616775489702,0.0,69.91461577096935,167.5539929683576,101.25565042692114,90.40683073832244,180.81366147664488,162.7322953289804,247.1120040180813,0.0,92.81767955801104,295.3289804118533,20.474783133788833,169.9648417880462,310.9994977398292
19,50000.29441473335,106.4,106.4,245.0,0.0,0.0,108.5,108.5,280.0,280.0,210.0,217.0,245.0,146.8512719174414,156.85887933218382,98.1546469945702,156.6726735941814,127.77498744349572,66.29834254143645,116.92616775489702,159.1160220994475,69.91461577096935,167.5539929683576,101.25565042692114,90.40683073832244,0.0,162.7322953289804,247.1120040180813,180.81366147664488,92.81767955801104,281.10844120050666,120.54244098442992,169.9648417880462,310.9994977398292
20,36809.74703504746,106.4,106.4,0.0,0.0,0.0,108.5,108.5,280.0,280.0,210.0,217.0,245.0,144.814719052018,163.3102055747104,120.8379276369738,153.6003097907472,122.66398794575588,63.646408839779006,112.24912104470116,152.75138121546962,67.11803114013058,160.8518332496233,97.2054244098443,86.79055750878955,173.5811150175791,156.2230035158212,211.1497014818728,173.5811150175791,89.10497237569061,0.0,115.72074334505274,163.16624811652434,298.5595178302361
21,24374.788854013594,0.0,0.0,0.0,0.0,0.0,108.5,108.5,280.0,280.0,210.0,217.0,83.29235374327942,147.2975681129556,163.6927839163352,138.6314679351902,146.5253039416618,116.27523857358108,60.33149171270717,106.40281265695629,144.7955801104972,63.62230035158211,152.4741336012054,92.14264188849825,82.27021597187341,0.0,0.0,0.0,164.54043194374682,84.46408839779004,268.7493721747865,109.69362129583122,154.66800602712203,283.0095429432446
22,16120.060062108354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,280.0,280.0,210.0,0.0,0.0,126.31282301553179,157.047540350943,163.3062665644284,154.949000767906,106.05323957810144,55.027624309392266,97.04871923656454,132.06629834254144,58.029131089904574,0.0,0.0,75.03766951280764,150.07533902561528,0.0,48.95164275305319,150.07533902561528,0.0,0.0,100.05022601707684,141.07081868407835,258.1295831240583
23,9389.101986227628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,277.45561454905874,280.0,0.0,0.0,0.0,124.8787938249782,122.9330067900362,163.2727389016436,151.6486957584922,93.27574083375188,48.39779005524861,85.35610246107483,116.15469613259668,51.03766951280763,0.0,73.91662481165243,0.0,0.0,0.0,180.39176293319937,131.99397287795077,0.0,215.59015570065293,0.0,124.07433450527373,0.0
24,5876.404832515689,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,115.50400362466982,0.0,0.0,0.0,137.862201651255,152.791626268359,161.5720097428156,128.6558945240508,0.0,41.767955801104975,0.0,0.0,44.0462079357107,0.0,63.79105976896032,0.0,0.0,102.52134605725766,0.0,113.91260673028629,58.47513812154696,0.0,75.94173782019085,0.0,195.9296835760924
